Animal,Date,Location,Session,Notes,More Notes
Marble06,4/17/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180417_1_openfield,1,Open field Day -2,
Marble06,4/17/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180417_2_fcbox,2,Shock Box Day -2,
Marble06,4/18/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180418_1_openfield,1,Open field Day -1,
Marble06,4/18/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180418_2_fcbox,2,Shock Box Day -1,
Marble06,4/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180419_1_openfield,1,Open field Day 0,
Marble06,4/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180419_2_fcbox,2,Shock Box Day 0,
Marble06,4/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180419_3_openfield,3,Open field  4hr,
Marble06,4/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180419_4_fcbox,4,Shock Box  4hr,
Marble06,4/20/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180420_1_openfield,1,Open field Day 1,
Marble06,4/20/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180420_2_fcbox_ALIGNTOEND,2,Shock Box Day 1,Triggering issue - align neural data to end of position data
Marble06,4/21/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180421_1_openfield,1,Open field Day 2,
Marble06,4/21/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180421_2_fcbox,2,Shock Box Day 2,
Marble06,4/26/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180426_1_openfield,1,Open field Day 7,Missing position data
Marble06,4/26/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble6/20180426_2_fcbox,2,Shock Box Day 7,Missing position data
Marble07,3/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180319_1_openfield,1,Open field Day -2,
Marble07,3/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180319_2_fcbox,2,Shock Box Day -2,
Marble07,3/20/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180320_1_openfield,1,Open field Day -1,
Marble07,3/20/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180320_2_fcbox,2,Shock Box Day -1,
Marble07,3/21/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180321_1_openfield,1,Open field Day 0,
Marble07,3/21/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180321_2_fcbox,2,Shock Box Day 0,
Marble07,3/21/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180321_3_openfield,3,Open field  4hr,
Marble07,3/21/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180321_4_fcbox,4,Shock Box  4hr,
Marble07,3/22/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180322_1_openfield,1,Open field Day 1,
Marble07,3/22/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180322_2_fcbox,2,Shock Box Day 1,
Marble07,3/23/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180323_1_openfield,1,Open field Day 2,
Marble07,3/23/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180323_2_fcbox,2,Shock Box Day 2,
Marble07,3/28/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180328_1_openfield,1,Open field Day 7,
Marble07,3/28/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble7/20180328_2_fcbox,2,Shock Box Day 7,
Marble11,5/28/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180528_1_openfield,1,Open field Day -2,
Marble11,5/28/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180528_2_fcbox,2,Shock Box Day -2,
Marble11,5/29/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180529_1_openfield,1,Open field Day -1,
Marble11,5/29/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180529_2_fcbox,2,Shock Box Day -1,
Marble11,5/30/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180530_1_openfield,1,Open field Day 0,
Marble11,5/30/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180530_2_fcbox,2,Shock Box Day 0,
Marble11,5/30/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180530_3_openfield,3,Open field  4hr,
Marble11,5/30/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180530_4_fcbox,4,Shock Box  4hr,
Marble11,5/31/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180531_1_openfield,1,Open field Day 1,
Marble11,5/31/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180531_2_fcbox,2,Shock Box Day 1,
Marble11,6/1/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180601_1_openfield,1,Open field Day 2,
Marble11,6/1/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180601_2_fcbox,2,Shock Box Day 2,
Marble11,6/6/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180606_1_openfield,1,Open field Day 7,
Marble11,6/6/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble11/20180606_2_fcbox,2,Shock Box Day 7,
Marble12,5/13/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180513_1_openfield,1,Open field Day -2,
Marble12,5/13/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180513_2_fcbox,2,Shock Box Day -2,
Marble12,5/14/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180514_1_openfield,1,Open field Day -1,
